id,artist,album,name,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
3NdDpSvN911VPGivFlV5d0,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",245200,0.735,0.0631,0.451,1.30E-05,0.325,0.0862,-8.374,0.0585,117.973,0,4,Calm
1wjzFQodRWrPcQ0AnYnvQ9,Lauv,I Like Me Better,I Like Me Better,197436,0.752,0.535,0.505,2.55E-06,0.104,0.419,-7.621,0.253,91.97,9,4,Calm
0TK2YIli7K1leLovkQiNik,Shawn Mendes,Señorita,Señorita,190960,0.759,0.037,0.54,0,0.0945,0.75,-6.039,0.0287,116.947,9,4,Calm
05CrK6Q5VGtfPDtyQFJ4Kf,We The Kings,Somewhere Somehow,Sad Song (feat. Elena Coats),226330,0.512,0.0724,0.526,0,0.0675,0.249,-5.44,0.0251,85.024,1,4,Calm
4VuS959DSpr82t3qBqCrWG,Ed Sheeran,÷ (Deluxe),Supermarket Flowers,221106,0.589,0.914,0.242,0,0.0887,0.257,-10.517,0.0442,89.749,6,4,Calm
0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,÷ (Deluxe),Perfect,263400,0.599,0.163,0.448,0,0.106,0.168,-6.312,0.0232,95.05,8,3,Calm
3hRV0jL3vUpRrcy398teAU,Lord Huron,Strange Trails,The Night We Met,208211,0.544,0.969,0.369,0.279,0.639,0.102,-9.514,0.038,87.01,2,3,Calm
2MvpHgDzl7skp1xowjCDiG,Jeremy Zucker,brent,sometimes,276080,0.466,0.889,0.127,0.00325,0.326,0.146,-15.047,0.042,168.521,2,3,Calm
7ce20yLkzuXXLUhzIDoZih,Lewis Capaldi,Before You Go,Before You Go,215106,0.459,0.604,0.575,0,0.0885,0.183,-4.858,0.0573,111.881,3,4,Calm
5AFJu2ztDpjULgkrdM0zVi,Faime,Rain,Rain,160555,0.737,0.346,0.423,0.000152,0.0872,0.244,-10.838,0.0357,108.035,6,4,Calm
